Effect,Coefficient,Std_Coefficient,CI_Lower,CI_Upper,CI_Lower_Std,CI_Upper_Std
Total (c),-0.11211152493828105,-0.3450116464670118,-0.19225606626486613,-0.03196698361169599,NA,NA
Direct (c'),-0.0955451263798998,-0.29403026479548106,-0.1723491463119939,-0.01874110644780569,NA,NA
Indirect (a*b),-0.016566398558381275,-0.05098138167153081,-0.04662665277177359,0.007953115393363314,-0.1434887113603287,0.024474891746562043
Path a (X→M),0.06456282150610147,0.14779642365245288,-0.042581670906046545,0.1717073139182495,NA,NA
Path b (M→Y),-0.256593472402932,-0.34494327001724245,-0.4364813098193372,-0.07670563498652685,NA,NA
